City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
212,santa branca,75,BR,1537862400,88,-23.4,-45.88,64.4,2.24
213,mayumba,88,GA,1537865358,99,-3.44,10.65,75.76,6.4
214,maniitsoq,88,GL,1537865358,100,65.42,-52.9,34.81,8.41
215,inirida,44,CO,1537865358,96,3.87,-67.92,73.24,1.97
216,san pedro de cajas,20,PE,1537865359,89,-11.25,-75.86,37.15,1.97
217,romny,92,UA,1537865359,88,50.74,33.49,50.2,13.15
218,yerofey pavlovich,0,RU,1537865359,51,53.97,121.97,54.16,4.21
219,cap malheureux,40,MU,1537862400,57,-19.98,57.61,80.6,12.75
220,hervey bay,80,AU,1537865360,96,-25.3,152.85,68.11,11.14
221,conceicao do araguaia,56,BR,1537865360,95,-8.26,-49.26,73.51,2.98
222,camacha,75,PT,1537864200,73,33.08,-16.33,73.4,12.75
223,plettenberg bay,36,ZA,1537865361,100,-34.05,23.37,60.19,15.84
224,vangaindrano,0,MG,1537865361,75,-23.35,47.6,79.27,7.23
225,kruisfontein,76,ZA,1537865362,84,-34.0,24.73,63.88,18.92
226,san andres,0,PH,1537865362,94,13.32,122.68,85.75,12.03
227,siderno,0,IT,1537861800,65,38.28,16.3,80.6,5.82
228,ahipara,88,NZ,1537865363,81,-35.17,173.16,54.7,18.81
229,shahr-e babak,0,IR,1537865363,35,30.12,55.12,78.82,7.29
230,lorengau,64,PG,1537865363,100,-2.02,147.27,83.95,5.77
231,phangnga,40,TH,1537864200,83,8.45,98.53,84.2,3.36
232,sola,75,NO,1537863600,93,58.89,5.65,53.6,6.93
233,choix,0,MX,1537865364,95,26.71,-108.33,69.37,2.3
234,timaru,0,NZ,1537865365,77,-44.39,171.25,44.71,12.37
235,marawi,88,PH,1537865365,94,8.0,124.29,70.99,3.38
236,quatre cocos,40,MU,1537862400,57,-20.21,57.76,80.6,12.75
237,san policarpo,24,PH,1537865366,85,12.18,125.51,84.49,16.58
238,mar del plata,92,AR,1537865366,100,-46.43,-67.52,40.3,11.59
239,lavrentiya,88,RU,1537865366,99,65.58,-170.99,42.28,11.32
240,kudahuvadhoo,44,MV,1537865366,100,2.67,72.89,82.42,10.36
241,gizo,20,IL,1537863600,48,31.8,34.94,87.8,4.7
242,sao joao da barra,0,BR,1537865367,96,-21.64,-41.05,74.41,18.7
243,pampa,1,US,1537863300,50,35.54,-100.96,69.98,13.87
244,yandyki,0,RU,1537865368,71,45.77,47.13,74.05,15.95
245,bayburt,0,TR,1537865368,24,40.26,40.22,74.14,3.31
246,saskylakh,88,RU,1537865368,90,71.97,114.09,35.44,12.26
247,kutum,0,SD,1537865369,17,14.2,24.66,92.05,13.56
248,puerto escondido,24,MX,1537865369,100,15.86,-97.07,81.61,6.51
249,surt,56,LY,1537865369,87,31.21,16.59,81.25,8.23
250,starobaltachevo,0,RU,1537865370,73,56.0,55.92,64.51,18.14
251,mpulungu,0,ZM,1537865370,30,-8.77,31.12,83.41,9.31
252,axim,76,GH,1537865370,100,4.87,-2.24,78.46,10.02
253,wadi musa,0,JO,1537865371,65,30.32,35.48,81.61,3.27
254,ciudad bolivar,12,VE,1537865371,91,8.12,-63.55,75.94,6.29
255,isiro,80,CD,1537865371,87,2.77,27.62,73.69,2.98
256,isangel,92,VU,1537865372,100,-19.55,169.27,72.88,16.58
257,bam,32,IR,1537865372,11,29.11,58.36,93.13,8.3
258,dese,0,IT,1537863600,39,45.53,12.3,62.6,9.17
259,del rio,1,US,1537862160,90,29.36,-100.9,73.04,6.93
260,khatanga,0,RU,1537865373,87,71.98,102.47,36.43,17.29
261,nichinan,75,JP,1537862400,65,31.65,131.31,78.8,20.8
262,shawnee,1,US,1537863300,96,35.33,-96.93,68.0,5.82
263,shetpe,0,KZ,1537865374,29,44.14,52.16,83.86,4.88
264,ivankiv,75,UA,1537862400,87,50.93,29.9,48.2,17.9
265,walvis bay,90,NA,1537862400,87,-22.95,14.51,55.4,6.93
266,kuzedeyevo,92,RU,1537865375,76,53.33,87.2,52.81,5.55
267,arlit,0,NE,1537865375,16,18.74,7.39,97.45,9.86
268,uhlove,92,UA,1537865375,100,44.82,33.6,55.15,12.33
269,hinton,80,CA,1537865376,70,53.4,-117.57,38.23,4.83
270,taoudenni,0,ML,1537865376,28,22.68,-3.98,89.71,4.99
271,marquette,90,US,1537863480,93,46.54,-87.4,62.96,11.41
272,bubaque,40,GW,1537862400,94,11.28,-15.83,77.0,3.36
273,nyagan,64,RU,1537865377,68,62.14,65.43,63.25,6.73
274,bethel,75,US,1537863480,100,60.79,-161.76,44.06,6.93
275,havoysund,75,NO,1537863600,86,71.0,24.66,39.2,24.16
276,coquimbo,90,CL,1537862400,87,-29.95,-71.34,53.6,5.82
277,dawlatabad,48,AF,1537865378,24,36.41,64.91,83.5,5.61
278,nhulunbuy,40,AU,1537864200,69,-12.18,136.78,78.8,13.87
279,broome,0,GB,1537863600,93,52.47,1.45,48.2,3.36
280,tuensang,80,IN,1537865379,79,26.24,94.81,75.13,2.19
281,pisco,48,PE,1537862400,93,-13.71,-76.2,55.4,1.12
282,stuhr,20,DE,1537863600,87,53.03,8.75,51.8,4.7
283,nouadhibou,0,MR,1537862400,88,20.93,-17.03,73.4,16.11
284,alofi,64,NU,1537862400,100,-19.06,-169.92,73.4,1.12
285,jumla,48,NP,1537865381,91,29.28,82.18,51.46,0.29
286,alice springs,0,AU,1537864200,11,-23.7,133.88,80.6,10.29
287,yozgat,0,TR,1537865382,23,39.82,34.81,83.05,4.21
288,kibala,20,TD,1537862400,69,9.11,18.35,80.6,6.93
289,binga,0,ZW,1537865383,42,-17.62,27.34,87.55,13.89
290,silifke,0,TR,1537865383,63,36.38,33.93,82.15,4.32
291,santa maria,20,BR,1537865384,95,-29.69,-53.81,60.01,11.1
292,arraial do cabo,44,BR,1537865384,100,-22.97,-42.02,71.08,4.5
293,agadez,0,NE,1537862400,18,16.97,7.99,96.8,27.51
294,barkhan,0,PK,1537865385,28,29.9,69.52,87.28,6.06
295,saint-augustin,0,FR,1537864200,62,44.83,-0.61,55.4,13.87
296,san patricio,32,PY,1537865385,91,-26.98,-56.83,66.94,4.5
297,fukue,75,JP,1537862400,73,35.03,136.69,71.6,10.29
298,roebourne,20,AU,1537865386,12,-20.77,117.15,97.09,10.54
299,mendoza,0,AR,1537862400,71,-32.89,-68.84,50.0,2.19
300,husavik,76,CA,1537865387,100,50.56,-96.99,41.74,8.08
301,fort nelson,75,CA,1537862400,70,58.81,-122.69,44.6,4.7
302,mumford,76,GH,1537865387,91,5.26,-0.76,78.73,7.78
303,matara,92,PE,1537865388,99,-13.74,-72.9,38.32,2.08
304,kotturu,44,IN,1537865388,71,14.82,76.23,82.42,7.56
305,muisne,92,EC,1537865388,95,0.61,-80.02,71.89,3.83
306,sapa,68,PH,1537865389,78,14.32,120.76,84.4,17.07
307,port augusta,0,AU,1537862400,55,-32.49,137.76,60.8,14.99
308,quarter,12,GB,1537863600,71,55.74,-4.03,53.6,14.99
309,mango,20,IT,1537863600,37,44.69,8.15,69.8,5.82
310,polunochnoye,64,RU,1537865390,66,60.87,60.43,66.49,10.02
311,maningrida,24,AU,1537865390,59,-12.05,134.23,82.6,16.58
312,paraiso,56,MX,1537865391,94,24.01,-104.61,54.61,4.38
313,hovd,75,NO,1537863600,70,63.83,10.7,48.2,19.46
314,la union,88,GT,1537865392,98,14.97,-89.29,67.75,2.04
315,kargil,12,PK,1537865392,49,34.56,76.13,40.66,1.48
316,atasu,0,KZ,1537865392,57,48.68,71.64,62.71,7.56
317,nelson bay,0,AU,1537864200,62,-32.72,152.14,57.2,8.05
318,labuhan,64,ID,1537865393,60,-2.54,115.51,85.84,3.2
319,sandpoint,1,US,1537862160,93,48.28,-116.55,42.08,2.08
320,srednekolymsk,44,RU,1537865393,86,67.46,153.71,32.38,2.53
321,caravelas,0,BR,1537865394,100,-17.73,-39.27,76.39,14.45
322,abu zabad,8,SD,1537865394,57,12.35,29.25,91.51,6.73
323,san blas,44,MX,1537865394,94,21.54,-105.29,72.88,2.3
324,henties bay,12,NA,1537865395,100,-22.12,14.28,56.41,3.53
325,palmer,0,AU,1537864200,36,-34.85,139.16,60.8,9.17
326,iralaya,64,HN,1537865395,88,15.0,-83.23,81.61,8.75
327,mapimi,20,MX,1537865396,75,25.82,-103.85,56.23,1.74
328,salamanca,0,ES,1537864200,46,40.97,-5.66,53.6,9.17
329,rincon,20,US,1537865040,100,32.3,-81.24,77.36,4.7
330,zherdevka,56,RU,1537865397,91,51.84,41.47,53.89,12.1
331,faratsiho,0,MG,1537865397,30,-19.41,46.95,81.88,3.09
332,aykhal,32,RU,1537865398,50,65.95,111.51,52.63,3.6
333,avera,90,US,1537864500,97,33.19,-82.53,75.2,4.7
334,muravlenko,12,RU,1537865398,86,63.79,74.5,64.51,8.01
335,redcliffe,8,GB,1537863600,66,51.45,-2.59,51.8,4.7
336,edd,56,ER,1537865399,27,13.93,41.69,95.2,5.06
337,belomorsk,76,RU,1537865399,100,64.52,34.76,42.82,13.6
338,merauke,8,ID,1537865399,63,-8.49,140.4,84.58,18.41
339,sinjar,0,SY,1537865400,33,35.59,37.0,89.98,5.99
340,terrace,75,CA,1537862400,87,54.52,-128.61,53.6,8.05
341,opportunity,90,US,1537861980,13,46.11,-112.83,37.94,4.7
342,kultayevo,40,RU,1537862400,49,57.89,55.94,68.0,24.61
343,mount isa,0,AU,1537864200,13,-20.73,139.49,84.2,6.93
344,ust-nera,44,RU,1537865402,98,64.57,143.24,24.91,2.08
345,cascais,0,PT,1537864200,60,38.7,-9.42,73.4,9.17
346,kerman,32,IR,1537862400,14,30.29,57.06,78.8,4.7
347,yagoua,0,CM,1537865402,97,10.34,15.23,84.31,6.4
348,mpika,0,ZM,1537865403,33,-11.84,31.4,81.52,10.65
349,matamoros,20,US,1537861980,93,25.87,-97.51,80.96,5.82
350,omboue,88,GA,1537865403,100,-1.57,9.26,77.56,9.75
351,yerbogachen,24,RU,1537865403,38,61.28,108.01,57.76,6.4
352,moose factory,20,CA,1537862400,81,51.26,-80.61,51.8,12.75
353,pauini,56,BR,1537865404,84,-7.71,-67.0,76.84,2.19
354,cam ranh,32,VN,1537865404,100,11.92,109.15,80.89,5.88
355,hofn,92,IS,1537865405,100,64.25,-15.21,42.64,13.94
356,martinsburg,90,US,1537863300,100,39.46,-77.96,60.98,4.7
357,erenhot,0,CN,1537865405,27,43.65,111.97,67.75,6.85
358,yar-sale,20,RU,1537865284,79,66.83,70.83,59.29,10.87
359,santander,75,PH,1537862400,52,9.42,123.33,91.4,13.87
360,harper,1,US,1537863300,89,30.3,-99.24,71.6,7.4
361,poum,75,MK,1537864200,30,41.28,20.71,55.4,11.41
362,macas,8,EC,1537865407,83,-2.3,-78.12,57.76,2.59
363,mayo,90,CA,1537864560,87,63.59,-135.9,42.8,3.36
364,jiquipilas,76,MX,1537865408,98,16.67,-93.65,68.38,1.97
365,the valley,20,AI,1537862400,83,18.22,-63.06,80.6,11.41
366,tres picos,80,MX,1537865411,92,16.23,-93.58,67.66,2.19
367,mehamn,40,NO,1537863600,86,71.03,27.85,39.2,20.8
368,malinyi,44,TZ,1537865412,53,-8.94,36.14,83.95,4.54
369,mukhen,68,RU,1537865412,87,48.19,136.14,47.68,3.09
370,port hardy,20,CA,1537862400,87,50.7,-127.42,53.6,8.05
371,bonavista,64,CA,1537865260,100,48.65,-53.11,45.34,16.8
372,khani,0,GE,1537862400,42,41.96,42.96,86.0,16.11
373,gilgit,76,PK,1537865413,61,35.92,74.31,47.05,1.19
374,bykov,20,RU,1537862400,62,47.32,142.56,57.2,4.47
375,garden city,90,US,1537863660,96,40.73,-73.63,60.98,8.05
376,chikwawa,0,MW,1537865414,44,-16.03,34.79,91.51,0.96
377,salalah,20,OM,1537861800,66,17.01,54.1,84.2,11.41
378,tocopilla,48,CL,1537865415,100,-22.09,-70.2,52.63,3.27
379,kushima,75,JP,1537862400,65,31.5,131.29,78.8,20.8
380,cockburn town,64,TC,1537865162,96,21.46,-71.14,83.95,19.71
381,calama,0,CL,1537862400,14,-22.46,-68.93,44.6,18.34
382,kuala terengganu,75,MY,1537862400,75,5.33,103.14,89.6,4.7
383,makakilo city,90,US,1537863660,84,21.35,-158.09,80.96,3.36
384,itoman,75,JP,1537862400,74,26.12,127.67,84.2,16.11
385,kamen-na-obi,24,RU,1537865417,69,53.79,81.35,58.3,8.01
386,praia da vitoria,40,PT,1537862400,83,38.73,-27.07,71.6,16.17
387,kaeo,24,NZ,1537865417,62,-35.1,173.78,51.91,14.34
388,koslan,88,RU,1537865418,89,63.46,48.9,50.56,5.5
389,tongliao,0,CN,1537865418,72,43.61,122.27,63.16,3.04
390,sur,0,OM,1537865418,77,22.57,59.53,89.08,1.59
391,comodoro rivadavia,90,AR,1537862400,81,-45.87,-67.48,42.8,8.05
392,kaitong,0,CN,1537865419,76,44.81,123.15,61.99,2.98
393,sept-iles,40,CA,1537862400,79,50.2,-66.38,28.4,2.24
394,ingleside,75,CA,1537863300,71,45.0,-74.99,53.6,6.93
395,newport,0,GB,1537863600,66,51.59,-3.0,51.8,4.7
396,talara,0,PE,1537865421,95,-4.58,-81.27,62.26,4.32
397,bay roberts,75,CA,1537862400,65,47.58,-53.28,44.6,14.99
398,kodiak,20,US,1537861980,100,39.95,-94.76,62.96,3.36
399,kibre mengist,56,ET,1537865422,86,5.87,38.99,65.86,3.38
400,manoel urbano,32,BR,1537865422,92,-8.84,-69.26,73.51,2.08
401,vila velha,75,BR,1537862400,83,-3.71,-38.6,78.8,14.99
402,esil,0,KZ,1537865423,52,51.96,66.41,67.21,9.53
403,touros,56,BR,1537865423,88,-5.2,-35.46,77.38,12.88
404,plouzane,0,FR,1537864200,62,48.38,-4.62,55.4,6.93
405,nesbyen,24,NO,1537865424,64,60.57,9.1,41.47,5.73
406,anage,88,BR,1537865424,88,-14.61,-41.14,67.48,8.9
407,la ronge,40,CA,1537862400,86,55.1,-105.3,37.4,6.93
408,calabozo,68,VE,1537865424,95,8.92,-67.43,71.35,7.9
409,takaka,8,NZ,1537865425,86,-40.86,172.81,51.19,14.83
410,juba,40,EE,1537861800,65,57.82,26.93,46.4,14.99
411,kingaroy,92,AU,1537865425,100,-26.54,151.84,56.05,6.06
412,waingapu,0,ID,1537865426,41,-9.65,120.26,87.01,9.86
413,bathsheba,20,BB,1537862400,74,13.22,-59.52,80.6,16.11
414,moron,92,VE,1537865426,93,10.49,-68.2,66.94,2.19
415,luanda,90,AO,1537862400,78,-8.83,13.24,75.2,3.36
416,sinnamary,0,GF,1537865427,100,5.38,-52.96,80.98,6.06
417,ponta do sol,0,BR,1537865427,72,-20.63,-46.0,61.54,5.77
418,samarai,88,PG,1537865427,100,-10.62,150.67,77.74,18.52
419,mongoumba,24,CD,1537865428,76,3.64,18.59,82.69,2.19
420,qobu,75,AZ,1537862400,69,40.4,49.71,80.6,19.46
421,san jose,56,PH,1537865429,77,15.79,120.99,81.34,6.51
422,beliator,64,IN,1537865430,77,23.33,87.22,90.25,7.0
423,shache,0,CN,1537865430,19,38.42,77.24,82.33,7.74
424,azare,0,NG,1537865430,94,11.67,10.19,83.23,4.88
425,mogadishu,24,SO,1537865406,100,2.04,45.34,78.91,15.12
426,camargo,44,MX,1537865431,44,27.69,-105.17,69.46,9.53
427,ewa beach,90,US,1537863660,84,21.32,-158.01,80.96,3.36
